iter	Passed	Remaining
0	2878	141028
1	5071	121707
2	7326	114781
3	9383	107914
4	11515	103641
5	13678	100310
6	15760	96815
7	17806	93481
8	19819	90287
9	21806	87227
10	22325	79155
11	24312	76990
12	26461	75314
13	28481	73237
14	30503	71175
15	32651	69383
16	34658	67277
17	36746	65326
18	38711	63160
19	40749	61124
20	42691	58954
21	44696	56885
22	46798	54937
23	48797	52863
24	50807	50807
25	52780	48720
26	54970	46826
27	57117	44877
28	59055	42764
29	61099	40732
30	63117	38684
31	65174	36660
32	67170	34602
33	69254	32590
34	71332	30571
35	73459	28567
36	75545	26543
37	77583	24500
38	79769	22498
39	81762	20440
40	83869	18410
41	86051	16390
42	88101	14342
43	90269	12309
44	92352	10261
45	94466	8214
46	96631	6167
47	98709	4112
48	101092	2063
49	103957	0
