Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2017-01-01,Cobar,25.6,29.5,0.6,NA,NA,S,31,S,SSE,11,13,NA,NA,1004.6,1004.9,8,7,26.3,28.7,No,No
2017-01-02,Cobar,20,32,0,NA,NA,S,41,S,SSW,20,20,NA,NA,1010.3,1009.3,NA,NA,23.1,30.2,No,No
2017-01-03,Cobar,18.8,35.5,0,NA,NA,E,43,E,ESE,24,17,NA,NA,1012.9,1010.3,NA,NA,25.4,34.6,No,No
2017-01-04,Cobar,21,35.3,0,NA,NA,ENE,41,ENE,N,31,11,NA,NA,1013.6,1011.5,NA,NA,24.1,33.4,No,No
2017-01-05,Cobar,21.2,36.2,0,NA,NA,E,33,ENE,SSE,19,15,NA,NA,1013.4,1009.5,NA,3,26.7,33.3,No,No
2017-01-06,Cobar,23.9,37.1,0,NA,NA,SE,83,ENE,S,28,19,NA,NA,1011.7,1009,NA,NA,27,35.6,No,Yes
2017-01-07,Cobar,21,36.9,5,NA,NA,ENE,46,ENE,ENE,30,11,NA,NA,1012.6,1008.2,NA,7,26.7,35.1,Yes,No
2017-01-08,Cobar,23.8,39.2,0,NA,NA,NE,35,NNE,SSE,20,7,NA,NA,1010,1007.2,NA,1,30.1,37.8,No,No
2017-01-09,Cobar,25.5,40.8,0,NA,NA,SE,43,NNW,N,17,13,NA,NA,1010.3,1006.9,NA,2,33.4,38.6,No,No
2017-01-10,Cobar,26,41.1,0.2,NA,NA,NA,NA,S,SW,4,11,39,16,1009.9,1006.6,NA,8,31,39.6,No,No
2017-01-11,Cobar,28.7,39.5,0,NA,NA,SW,37,SE,SSW,9,17,43,24,1007.7,1006,8,8,31.7,36.7,No,No
2017-01-12,Cobar,24.6,40.1,0,NA,NA,NW,41,SE,W,17,20,23,16,1008.9,1005.7,7,1,29.8,38.7,No,No
2017-01-13,Cobar,28.8,45.7,0,NA,NA,NNW,57,NNW,NNW,22,30,21,10,1003.7,1000.7,NA,2,36.8,44,No,No
2017-01-14,Cobar,20.6,32.8,0,NA,NA,SW,43,SSW,SSW,22,24,67,16,1008.4,1008,8,NA,21.7,31.4,No,No
2017-01-15,Cobar,16.5,35.2,0,NA,NA,S,37,SSE,SSW,19,19,36,12,1013.3,1010.9,NA,NA,22.8,33.7,No,No
2017-01-16,Cobar,20.8,39.7,0,NA,NA,E,33,E,E,20,13,45,21,1012.3,1008.9,NA,1,27.6,37.8,No,No
2017-01-17,Cobar,27.1,43.4,0,NA,NA,NNW,54,N,NW,24,13,35,18,1011.2,1007.8,NA,3,34.9,39.7,No,No
2017-01-18,Cobar,29.7,40.7,0,NA,NA,NNW,46,NNW,SW,22,19,40,23,1009.1,1007,8,8,34.1,38.6,No,No
2017-01-19,Cobar,24.8,41.2,0,NA,NA,W,28,ESE,W,17,11,26,18,1008.6,1004.6,NA,3,29.8,38.1,No,Yes
2017-01-20,Cobar,23.3,31.9,9.4,NA,NA,W,57,WNW,WNW,13,24,96,59,1003,999.7,5,8,23.5,30.1,Yes,Yes
2017-01-21,Cobar,15.7,32,8,NA,NA,SSE,28,SSE,SSE,13,13,60,20,1009.8,1008.7,NA,NA,19.1,29.6,Yes,No
2017-01-22,Cobar,19.1,37.7,0,NA,NA,NNE,43,E,W,22,9,53,19,1011.6,1009.1,NA,NA,24.8,34.8,No,No
2017-01-23,Cobar,24.6,41.2,0,NA,NA,NA,NA,NNE,N,30,26,54,31,1008.3,1005.9,NA,8,31.2,39,No,NA
2017-01-01,Moree,27.3,43,0,NA,NA,SSW,48,N,N,26,17,39,22,1004,1000.4,NA,1,32.9,39.9,No,Yes
2017-01-02,Moree,23.8,35.6,4,NA,NA,S,54,ESE,S,13,22,80,44,1006,1003.8,7,4,25.7,34.1,Yes,No
2017-01-03,Moree,18.9,36,0,NA,NA,NE,46,ESE,S,15,11,47,26,1012.4,1009.8,NA,3,26.6,33.7,No,No
2017-01-04,Moree,20.1,35.8,0,NA,NA,NE,50,E,SE,30,15,40,20,1015.1,1011.2,NA,NA,26,34.1,No,No
2017-01-05,Moree,19.9,35.3,0,NA,NA,ENE,39,E,SSE,22,20,48,23,1015.1,1010.1,NA,3,25.2,34.2,No,No
2017-01-06,Moree,20.1,36.6,0,NA,NA,ENE,56,ENE,E,20,13,49,24,1013.4,1009.1,NA,1,26.5,35.3,No,Yes
2017-01-07,Moree,19.3,35.4,2.4,NA,NA,NE,48,E,S,26,15,50,25,1014.4,1009.2,NA,5,24.9,33.3,Yes,No
2017-01-08,Moree,19.4,35.6,0.2,NA,NA,ENE,43,ENE,ENE,20,7,47,27,1013.8,1009.4,NA,5,24.1,32.7,No,No
2017-01-09,Moree,20.8,36.4,0,NA,NA,NNE,37,NNE,SSE,24,7,48,24,1013.7,1009.2,NA,NA,24.5,35.1,No,No
2017-01-10,Moree,23.7,39.5,0,NA,NA,NNE,41,NNE,ESE,24,4,58,22,1012.9,1008.9,NA,NA,27.8,37.2,No,No
2017-01-11,Moree,26.5,41.6,0,NA,NA,NNE,41,NNE,N,28,15,42,19,1010.6,1006.8,NA,NA,30.6,40.5,No,No
2017-01-12,Moree,28.9,42.5,0,NA,NA,W,59,N,NNW,22,24,37,17,1009.2,1005.6,8,3,32.1,40.7,No,No
2017-01-13,Moree,26.1,42,0,NA,NA,NE,52,NNE,N,31,26,46,23,1009.4,1005.3,NA,NA,31.2,40.2,No,No
2017-01-14,Moree,29,41.4,0,NA,NA,WSW,70,N,NNW,22,20,51,28,1006.6,1001.9,1,8,31.8,40.3,No,No
2017-01-15,Moree,21.4,40.5,0.2,NA,NA,E,54,NE,NNW,11,19,30,25,1008.1,1006,NA,NA,28.8,38.6,No,No
2017-01-16,Moree,22.8,36.6,0,NA,NA,E,46,ENE,NE,26,13,60,36,1013.9,1010.8,7,8,26.6,34.5,No,No
2017-01-17,Moree,25.3,38.2,0,NA,NA,NNE,37,NNE,NNW,24,15,57,30,1016.4,1012.2,NA,2,28.4,36.2,No,No
2017-01-18,Moree,25.8,39.9,0,NA,NA,WSW,76,N,SW,19,31,39,28,1013,1008.8,1,6,30.9,36.5,No,No
2017-01-19,Moree,23.7,40.6,0,NA,NA,NE,65,E,WSW,9,22,46,27,1008.8,1005.2,NA,2,31.5,38.9,No,Yes
2017-01-20,Moree,23.4,38.6,1.4,NA,NA,W,96,NNE,WSW,37,41,71,86,1005.6,1001.5,7,8,26.5,25.2,Yes,Yes
2017-01-21,Moree,23.7,35.8,6.4,NA,NA,WSW,39,SSW,SW,24,22,64,23,1006.6,1006.2,NA,NA,26,34.6,Yes,No
2017-01-22,Moree,20.5,35.5,0,NA,NA,N,43,NE,N,28,20,59,37,1013.8,1011.1,NA,2,25.6,34,No,No
2017-01-23,Moree,21.3,36.6,0,NA,NA,NNE,48,NE,NNE,33,19,56,28,1015,1011.3,NA,NA,24.5,33.9,No,No
2017-01-01,NorahHead,21.4,26.3,0,NA,NA,N,28,SSW,SSE,9,7,90,88,1007.2,1005.4,NA,NA,23.5,24,No,Yes
2017-01-02,NorahHead,20.7,23.9,1.2,NA,NA,SSW,52,SSW,S,35,33,94,83,1008.6,1011.3,NA,NA,20.9,22.4,Yes,No
